#{"t_start": 1768498912.038433, "env_id": "None"}
r,l,t
-8.317228,144,21.141445
-4.448188,144,21.17485
-6.48301,144,21.208537
-10.182546,144,21.242133
-6.508662,144,21.275409
-5.846021,144,21.308571
-8.264839,144,21.342012
-3.877111,144,21.375548
-6.125749,144,21.818457
-5.409177,144,21.851622
-4.017756,144,21.884212
-2.112679,144,21.916749
-9.902663,144,21.949135
-2.305145,144,21.981668
-4.784969,144,22.014186
-2.262866,144,22.0466
-4.449847,144,22.079099
-6.659874,144,22.111693
-4.761028,144,22.144177
-11.813981,144,22.176636
-3.055671,144,22.209085
-4.507504,144,22.241344
