#{"t_start": 1768498935.0965388, "env_id": "None"}
r,l,t
-41.343606,24,21.008134
-39.249471,24,21.03119
-44.478612,24,21.053923
-37.882482,24,21.076795
-35.349363,24,21.099129
-41.027921,24,21.12146
-39.662683,24,21.143553
-41.045202,24,21.165874
-43.412582,24,21.18807
-42.701882,24,21.210545
-35.003876,24,21.233077
-39.235698,24,21.255433
-41.493966,24,21.277712
-42.490273,24,21.300214
-41.475118,24,21.322462
-39.910999,24,21.345116
-44.489614,24,21.368608
-40.986994,24,21.392334
-45.690855,24,21.415562
-40.789013,24,21.43871
-34.033537,24,21.461749
-37.703034,24,21.484531
-42.635267,24,21.507798
-39.261626,24,21.530773
-41.662939,24,21.553698
-45.573788,24,21.576466
-45.113146,24,21.599265
-35.069967,24,21.621605
-45.342659,24,21.644214
-44.380851,24,21.66714
-38.16262,24,21.690246
-39.197095,24,21.71297
-39.819098,24,21.735607
-39.068764,24,21.758486
-43.412053,24,21.78081
-40.368668,24,21.803242
-42.890759,24,21.825622
-40.544068,24,21.847787
-40.235824,24,21.87024
-40.997894,24,21.8925
-38.009974,24,21.914655
-37.234462,24,21.936682
-36.668039,24,21.958604
-35.668233,24,21.980629
-39.37433,24,22.002684
-38.774119,24,22.024809
-40.391984,24,22.047486
-42.02089,24,22.071931
-38.415366,24,22.095069
-37.281127,24,22.118673
-43.544298,24,22.142171
-39.29318,24,22.165353
-37.706459,24,22.187736
-44.456266,24,22.209989
-44.352879,24,22.23199
-40.405292,24,22.254084
-40.848607,24,22.276178
-42.512682,24,22.298502
-41.816009,24,22.321482
-39.657311,24,22.345493
-36.209696,24,22.368689
-44.441879,24,22.391543
-44.233289,24,22.414136
-49.145815,24,22.43717
-40.388698,24,22.45978
-37.093604,24,22.482135
-39.694957,24,22.504698
-36.230478,24,22.527081
-36.178644,24,22.549188
-36.637478,24,22.57173
-37.237004,24,22.593958
-41.19739,24,22.615984
-39.738054,24,22.638181
-42.477756,24,22.660471
-36.989816,24,22.682524
-40.346166,24,22.704509
-42.939093,24,22.726632
-40.496185,24,22.749441
-37.012733,24,22.772316
-45.092921,24,22.794908
-47.637943,24,22.817245
-40.963451,24,22.83949
-45.026978,24,22.86188
-43.166152,24,23.608265
-41.424255,24,23.632594
-39.719635,24,23.656412
-42.698597,24,23.679859
-40.103555,24,23.703363
-40.183607,24,23.726677
-46.81499,24,23.749749
-44.752136,24,23.772718
-41.740874,24,23.795617
-37.761829,24,23.818563
-34.196371,24,23.841422
-41.830251,24,23.86426
-42.368545,24,23.887263
-35.892689,24,23.911099
-34.672012,24,23.934136
-42.726803,24,23.957629
-42.413566,24,23.981441
-37.491267,24,24.004946
-39.798313,24,24.028648
-41.814734,24,24.052301
-43.243056,24,24.075927
-38.561942,24,24.099203
-37.046504,24,24.122456
-42.081113,24,24.171876
-40.360456,24,24.196162
-35.117456,24,24.219907
-43.917394,24,24.242915
-42.573546,24,24.265316
-42.359737,24,24.287181
-42.826461,24,24.309
-40.597422,24,24.331285
-34.025488,24,24.354781
-46.151872,24,24.378159
-38.483535,24,24.401017
-37.70966,24,24.424184
-42.703486,24,24.446891
-42.091825,24,24.468961
-41.232686,24,24.490787
-36.27539,24,24.512857
-40.344926,24,24.534672
-38.201342,24,24.557325
-41.202698,24,24.57987
-42.764935,24,24.601815
-38.288589,24,24.623487
-38.035063,24,24.645553
-35.242565,24,24.667946
-46.60281,24,24.690381
-44.423496,24,24.712348
-42.168039,24,24.734594
-46.210758,24,24.756882
-32.405801,24,24.778639
-40.110915,24,24.800417
-43.149138,24,24.822207
-43.957759,24,24.84385
-32.814537,24,24.865668
-40.638381,24,24.88736
-43.077397,24,24.909123
-41.744092,24,24.930764
-38.474588,24,24.952413
-43.893123,24,24.974104
-43.146357,24,24.995711
-41.443974,24,25.0177
-35.984041,24,25.040534
-38.472468,24,25.062213
-44.233648,24,25.083857
-42.160934,24,25.105447
-38.509736,24,25.127166
-39.826718,24,25.148793
-37.327549,24,25.170528
-46.001888,24,25.192192
-40.290279,24,25.213774
-37.66828,24,25.235521
-44.316485,24,25.257323
-40.805553,24,25.279089
-42.349489,24,25.300781
-40.112658,24,25.322428
-39.474247,24,25.344203
-40.230453,24,25.365822
-42.55854,24,25.387408
-38.294494,24,25.408955
-42.919181,24,25.430704
-36.702432,24,25.452282
-38.746268,24,25.473878
-45.009182,24,25.495454
-41.397413,24,25.517431
-40.655052,24,26.252707
-36.253731,24,26.276594
-38.455995,24,26.299644
-41.343978,24,26.322499
-35.484671,24,26.345349
-45.31686,24,26.368253
-43.378197,24,26.391049
-36.804651,24,26.413851
-41.771384,24,26.436599
-34.411607,24,26.459368
-39.751764,24,26.482111
-40.917968,24,26.504969
-38.813898,24,26.52793
-35.354051,24,26.55063
-35.872006,24,26.573337
-42.44148,24,26.596053
-37.27555,24,26.618799
-46.157241,24,26.641501
-45.132828,24,26.664151
-37.021276,24,26.686846
-44.079519,24,26.709537
-38.140906,24,26.732152
-42.911778,24,26.754905
-45.048979,24,26.777647
-43.818161,24,26.800425
-43.528929,24,26.823145
-38.678478,24,26.846029
-42.733928,24,26.868736
-38.246841,24,26.891506
-42.034187,24,26.914185
-44.633294,24,26.936914
-43.429129,24,26.95953
-44.166347,24,26.982051
-43.864036,24,27.004765
-35.564094,24,27.027543
-38.439746,24,27.050484
-39.433826,24,27.073135
-41.511335,24,27.095819
-35.447192,24,27.118589
-39.800197,24,27.141363
-45.419683,24,27.163866
-42.850168,24,27.186767
-32.692169,24,27.209472
-32.837955,24,27.232219
-38.070128,24,27.25491
-42.583646,24,27.277543
-39.268255,24,27.300579
-41.521373,24,27.323835
-38.598323,24,27.347789
-39.08617,24,27.371232
-35.408392,24,27.394009
-42.02551,24,27.416695
-36.708275,24,27.439399
-34.904056,24,27.462062
-37.46283,24,27.484732
-35.230992,24,27.507478
-41.671153,24,27.5305
-40.181616,24,27.553338
-30.01381,24,27.576039
-43.753817,24,27.598797
-47.978441,24,27.621507
-41.499439,24,27.644229
-43.116592,24,27.666921
-34.138447,24,27.68953
-44.474598,24,27.712265
-40.906111,24,27.734977
-43.583948,24,27.75769
-41.812195,24,27.780344
-38.135141,24,27.803093
-41.191488,24,27.825758
-49.58528,24,27.848573
-43.035744,24,27.871306
-36.900401,24,27.894013
-40.577482,24,27.916626
-40.735141,24,27.939425
-44.781488,24,27.962145
-38.548108,24,27.9848
-49.167985,24,28.007607
-35.793844,24,28.030286
-39.585363,24,28.053364
-40.535748,24,28.076087
-45.116113,24,28.098729
-39.624089,24,28.121428
-42.667306,24,28.144109
-39.603013,24,28.166753
-40.368488,24,28.900833
-39.433781,24,28.924644
-42.073094,24,28.947457
-44.411343,24,28.970433
-39.355119,24,28.99319
-39.651392,24,29.016055
-33.743411,24,29.038952
-43.206087,24,29.061878
-40.272162,24,29.084677
-37.898603,24,29.107332
-42.217851,24,29.130107
-40.36297,24,29.152787
-37.595445,24,29.175567
-44.10062,24,29.198257
-40.886492,24,29.221012
-35.641547,24,29.24375
-35.513288,24,29.266656
-40.827652,24,29.289435
-39.041813,24,29.312135
-42.104049,24,29.334847
-34.247442,24,29.357554
-44.471648,24,29.380296
-38.409195,24,29.402904
-37.449827,24,29.425715
-45.561853,24,29.448368
-43.519406,24,29.47099
-42.69898,24,29.493572
-37.646555,24,29.516495
-37.384204,24,29.539399
-45.123403,24,29.562091
-38.396749,24,29.584879
-43.081462,24,29.607573
-44.407406,24,29.630277
-40.367733,24,29.652918
-43.218687,24,29.675609
-37.523771,24,29.698248
-35.886437,24,29.720915
-39.358393,24,29.743589
-43.748631,24,29.766413
-39.525861,24,29.78921
-37.393497,24,29.811904
-36.487316,24,29.834577
-44.270954,24,29.857241
-36.628594,24,29.879985
-35.555007,24,29.902615
-40.320633,24,29.925282
-35.330267,24,29.947922
-39.848183,24,29.970646
-37.740654,24,29.993389
-34.60406,24,30.016038
-38.739622,24,30.038781
-42.147364,24,30.061624
-36.659176,24,30.084372
-40.415087,24,30.107018
-43.852999,24,30.129693
-37.381775,24,30.152353
-41.058005,24,30.175026
-41.163341,24,30.197624
-34.413504,24,30.220274
-36.987127,24,30.242873
-35.459426,24,30.265557
-41.185574,24,30.288291
-34.950845,24,30.311096
-34.239733,24,30.333737
-38.921086,24,30.356458
-35.56305,24,30.379143
-32.742374,24,30.401832
-41.596218,24,30.424509
-38.60355,24,30.447105
-40.464923,24,30.469823
-38.061369,24,30.492559
-41.118272,24,30.51491
-36.548398,24,30.537094
-41.440538,24,30.558886
-43.921909,24,30.580669
-42.401457,24,30.602335
-39.912091,24,30.624123
-39.369681,24,30.645777
-38.663999,24,30.667503
-43.784374,24,30.689212
-42.687934,24,30.710968
-38.474363,24,30.732718
-36.190629,24,30.754558
-43.465954,24,30.776217
-36.310746,24,30.797983
-40.933022,24,30.819815
-31.925406,24,31.555786
-36.740927,24,31.579385
-44.184516,24,31.602407
-39.978042,24,31.625202
-38.32773,24,31.648068
-40.103551,24,31.670916
-40.454641,24,31.693788
-39.446429,24,31.716521
-41.108043,24,31.739291
-41.161519,24,31.762014
-41.14475,24,31.784821
-43.258918,24,31.807591
-43.105182,24,31.830363
-39.956451,24,31.853142
-37.68776,24,31.875861
-43.924344,24,31.898551
-35.947597,24,31.921312
-38.884652,24,31.944075
-36.982894,24,31.966722
-39.024154,24,31.989422
-36.402993,24,32.012097
-35.055327,24,32.034753
-41.153187,24,32.057553
-41.357132,24,32.080403
-33.556387,24,32.10307
-34.158378,24,32.125548
-39.53372,24,32.148306
-37.160614,24,32.171075
-38.476967,24,32.193921
-42.06171,24,32.216555
-34.176277,24,32.239299
-39.553598,24,32.261936
-42.155606,24,32.2846
-34.820547,24,32.307504
-38.350816,24,32.330708
-42.757957,24,32.354645
-45.081507,24,32.377958
-37.267817,24,32.400647
-40.774396,24,32.423405
-39.729598,24,32.446268
-46.871844,24,32.468992
-37.023045,24,32.491723
-38.393879,24,32.514502
-44.714121,24,32.53727
-38.710605,24,32.560229
